step,loss_function,target_value,elapsed_time
0,3.32242e+02,6.22480e-01,0
100,3.59697e+02,1.00655e+00,4
200,3.45790e+02,1.38196e+00,8
300,3.32923e+02,1.75017e+00,12
400,3.18345e+02,2.11138e+00,16
500,3.06967e+02,2.46514e+00,20
600,2.96213e+02,2.81183e+00,24
700,2.83940e+02,3.15323e+00,28
800,2.72320e+02,3.48699e+00,32
900,2.62637e+02,3.81421e+00,36
1000,2.52161e+02,4.13472e+00,40
1100,2.42219e+02,4.44873e+00,44
1200,2.33053e+02,4.75728e+00,49
1300,2.23880e+02,5.05919e+00,53
1400,2.16318e+02,5.35321e+00,57
1500,2.07902e+02,5.64307e+00,61
1600,2.00159e+02,5.92659e+00,65
1700,1.91213e+02,6.20449e+00,69
1800,1.84657e+02,6.47736e+00,73
1900,1.77920e+02,6.74384e+00,77
2000,1.70539e+02,7.00523e+00,81
2100,1.64939e+02,7.26132e+00,85
2200,1.58072e+02,7.51316e+00,89
2300,1.52878e+02,7.76008e+00,94
2400,1.46938e+02,8.00258e+00,98
2500,1.40492e+02,8.24017e+00,102
2600,1.35569e+02,8.47403e+00,106
2700,1.30562e+02,8.70127e+00,111
2800,1.26096e+02,8.92531e+00,115
2900,1.20903e+02,9.14503e+00,119
3000,1.17131e+02,9.36059e+00,123
3100,1.11614e+02,9.57168e+00,127
3200,1.07954e+02,9.77677e+00,131
3300,1.04102e+02,9.97912e+00,135
3400,1.00051e+02,1.01779e+01,139
3500,9.56970e+01,1.03707e+01,143
3600,9.28159e+01,1.05607e+01,147
3700,8.95959e+01,1.07471e+01,151
3800,8.62439e+01,1.09295e+01,155
3900,8.29813e+01,1.11098e+01,160
4000,8.06971e+01,1.12859e+01,164
4100,7.73250e+01,1.14585e+01,168
4200,7.49906e+01,1.16275e+01,172
4300,7.17749e+01,1.17928e+01,176
4400,6.91850e+01,1.19554e+01,180
4500,6.76248e+01,1.21144e+01,184
4600,6.44718e+01,1.22711e+01,188
4700,6.22288e+01,1.24253e+01,192
4800,6.03279e+01,1.25767e+01,196
4900,5.82468e+01,1.27234e+01,200
5000,5.58596e+01,1.28679e+01,204
5100,5.41233e+01,1.30096e+01,209
5200,5.20171e+01,1.31479e+01,213
5300,5.01111e+01,1.32835e+01,217
5400,4.85648e+01,1.34164e+01,221
5500,4.68465e+01,1.35473e+01,225
5600,4.55275e+01,1.36763e+01,229
5700,4.39525e+01,1.38004e+01,233
5800,4.27506e+01,1.39229e+01,237
5900,4.12295e+01,1.40421e+01,241
6000,3.99440e+01,1.41596e+01,245
6100,3.85724e+01,1.42751e+01,249
6200,3.73283e+01,1.43878e+01,253
6300,3.60936e+01,1.44987e+01,258
6400,3.54064e+01,1.46064e+01,262
6500,3.45691e+01,1.47140e+01,266
6600,3.29126e+01,1.48186e+01,270
6700,3.16513e+01,1.49212e+01,274
6800,3.09391e+01,1.50215e+01,278
6900,3.03400e+01,1.51194e+01,282
7000,2.94666e+01,1.52146e+01,286
7100,2.86348e+01,1.53100e+01,290
7200,2.76581e+01,1.54038e+01,294
7300,2.68947e+01,1.54939e+01,298
7400,2.61534e+01,1.55822e+01,303
7500,2.56501e+01,1.56695e+01,307
7600,2.47050e+01,1.57562e+01,311
7700,2.38015e+01,1.58404e+01,315
7800,2.33456e+01,1.59238e+01,319
7900,2.27524e+01,1.60041e+01,323
8000,2.23671e+01,1.60838e+01,327
8100,2.17487e+01,1.61611e+01,331
8200,2.09235e+01,1.62357e+01,335
8300,2.10211e+01,1.63104e+01,339
8400,1.99623e+01,1.63828e+01,343
8500,1.95591e+01,1.64544e+01,347
8600,1.89171e+01,1.65247e+01,352
8700,1.87448e+01,1.65934e+01,356
8800,1.80403e+01,1.66603e+01,360
8900,1.80149e+01,1.67257e+01,364
9000,1.77510e+01,1.67903e+01,368
9100,1.71854e+01,1.68541e+01,372
9200,1.68008e+01,1.69161e+01,377
9300,1.65120e+01,1.69766e+01,381
9400,1.60553e+01,1.70375e+01,385
9500,1.56587e+01,1.70959e+01,389
9600,1.53179e+01,1.71541e+01,393
