step,loss_function,target_value,elapsed_time
0,6.46036e+00,1.53757e+00,0
100,6.60020e+00,2.09072e+00,4
200,4.51600e+00,2.54441e+00,8
300,2.95984e+00,2.91540e+00,13
400,2.08627e+00,3.21951e+00,17
500,1.39354e+00,3.46800e+00,21
600,9.71931e-01,3.67226e+00,26
700,6.75360e-01,3.83900e+00,30
800,4.68658e-01,3.97554e+00,34
900,3.59495e-01,4.08656e+00,38
1000,2.36762e-01,4.17840e+00,43
1100,1.93266e-01,4.25305e+00,47
1200,1.50531e-01,4.31331e+00,51
1300,1.10238e-01,4.36355e+00,56
1400,8.18020e-02,4.40421e+00,60
1500,9.21120e-02,4.43770e+00,64
1600,5.64622e-02,4.46541e+00,69
1700,7.02393e-02,4.48811e+00,73
1800,5.78982e-02,4.50586e+00,77
1900,4.11416e-02,4.52079e+00,82
2000,6.54452e-02,4.53243e+00,86
2100,5.77497e-02,4.54170e+00,90
2200,5.00201e-02,4.55046e+00,95
2300,4.51433e-02,4.55788e+00,99
2400,5.10796e-02,4.56395e+00,103
2500,4.72525e-02,4.56840e+00,108
2600,5.00348e-02,4.57168e+00,112
2700,4.29384e-02,4.57525e+00,116
2800,3.50535e-02,4.57783e+00,120
2900,5.06685e-02,4.58069e+00,125
3000,4.83742e-02,4.58179e+00,129
3100,5.24256e-02,4.58337e+00,133
3200,4.73532e-02,4.58494e+00,138
3300,4.61741e-02,4.58580e+00,142
3400,4.97310e-02,4.58599e+00,146
3500,5.21921e-02,4.58583e+00,151
3600,3.89543e-02,4.58665e+00,155
3700,3.54513e-02,4.58685e+00,159
3800,4.98538e-02,4.58814e+00,163
3900,4.84629e-02,4.58885e+00,168
4000,4.11610e-02,4.58918e+00,172
4100,5.02919e-02,4.58978e+00,177
4200,5.29750e-02,4.59016e+00,181
4300,4.20453e-02,4.58898e+00,185
4400,6.12413e-02,4.58950e+00,189
4500,5.10584e-02,4.58998e+00,194
4600,4.83899e-02,4.59006e+00,198
4700,4.20422e-02,4.59041e+00,203
4800,4.69039e-02,4.59091e+00,207
4900,4.55249e-02,4.59062e+00,211
5000,3.23048e-02,4.59091e+00,215
