step,loss_function,target_value,elapsed_time
0,2.34766e+04,4.68060e+01,0
100,1.04567e+02,4.77469e+01,14
200,9.15519e+01,4.85667e+01,27
300,8.10774e+01,4.92912e+01,43
400,7.30812e+01,4.99264e+01,57
500,6.67427e+01,5.04967e+01,71
600,6.13406e+01,5.10210e+01,84
700,5.65889e+01,5.14997e+01,99
800,5.27835e+01,5.19436e+01,112
900,4.96118e+01,5.23535e+01,126
1000,4.67612e+01,5.27257e+01,139
1100,4.46627e+01,5.30710e+01,153
1200,4.27041e+01,5.33875e+01,166
1300,4.10307e+01,5.36774e+01,180
1400,3.98156e+01,5.39461e+01,193
1500,3.86135e+01,5.41916e+01,206
1600,3.76546e+01,5.44138e+01,222
1700,3.68753e+01,5.46161e+01,237
1800,3.61828e+01,5.48029e+01,251
1900,3.55514e+01,5.49788e+01,264
2000,3.50401e+01,5.51420e+01,278
2100,3.45447e+01,5.52878e+01,291
2200,3.41729e+01,5.54268e+01,305
2300,3.39135e+01,5.55543e+01,318
2400,3.37578e+01,5.56734e+01,332
2500,3.33860e+01,5.57824e+01,346
2600,3.32420e+01,5.58795e+01,360
2700,3.32477e+01,5.59686e+01,373
2800,3.29885e+01,5.60522e+01,388
2900,3.30274e+01,5.61295e+01,402
3000,3.28471e+01,5.62041e+01,415
3100,3.27217e+01,5.62679e+01,429
3200,3.25739e+01,5.63308e+01,442
3300,3.26747e+01,5.63891e+01,456
3400,3.26949e+01,5.64438e+01,470
3500,3.24474e+01,5.64908e+01,484
3600,3.24544e+01,5.65338e+01,498
3700,3.24888e+01,5.65699e+01,512
3800,3.25817e+01,5.66080e+01,526
3900,3.24780e+01,5.66458e+01,541
4000,3.24108e+01,5.66776e+01,556
4100,3.24298e+01,5.67102e+01,571
4200,3.23738e+01,5.67380e+01,585
4300,3.25019e+01,5.67623e+01,599
4400,3.24109e+01,5.67871e+01,613
4500,3.24079e+01,5.68053e+01,627
4600,3.24556e+01,5.68233e+01,640
4700,3.24960e+01,5.68408e+01,653
4800,3.23906e+01,5.68587e+01,667
4900,3.24024e+01,5.68762e+01,680
5000,3.23677e+01,5.68871e+01,695
5100,3.23918e+01,5.68991e+01,708
5200,3.23779e+01,5.69089e+01,721
5300,3.24480e+01,5.69225e+01,735
5400,3.23630e+01,5.69316e+01,750
5500,3.23731e+01,5.69466e+01,765
5600,3.23931e+01,5.69542e+01,778
5700,3.24236e+01,5.69591e+01,792
5800,3.24101e+01,5.69701e+01,806
5900,3.24760e+01,5.69783e+01,820
6000,3.24284e+01,5.69912e+01,833
