step,loss_function,target_value,elapsed_time
0,3.54477e-01,-3.37366e+00,0
100,8.26060e-02,7.94249e-01,0
200,6.32079e-02,6.28864e-01,1
300,6.30968e-02,6.02851e-01,2
400,6.19521e-02,5.92265e-01,3
500,5.45325e-02,6.33924e-01,4
600,5.09265e-02,7.08947e-01,5
700,4.75259e-02,7.38725e-01,6
800,4.26117e-02,6.75240e-01,7
900,3.92347e-02,6.91332e-01,8
1000,3.52402e-02,6.79266e-01,9
1100,2.94528e-02,6.88987e-01,10
1200,2.47385e-02,6.64080e-01,11
1300,2.23054e-02,6.73557e-01,12
1400,2.52516e-02,6.14973e-01,13
1500,2.37822e-02,5.94272e-01,13
1600,1.91919e-02,5.81141e-01,14
1700,1.95102e-02,6.33546e-01,15
1800,1.47651e-02,5.58330e-01,16
1900,2.55877e-02,6.83598e-01,17
2000,2.85425e-02,6.92693e-01,18
2100,1.84224e-02,6.06551e-01,19
2200,1.38299e-02,6.31412e-01,20
2300,1.40318e-02,5.28523e-01,21
2400,1.19415e-02,6.60901e-01,22
2500,1.17898e-02,6.42061e-01,23
2600,1.41714e-02,6.38656e-01,24
2700,1.59662e-02,5.72533e-01,25
2800,1.31328e-02,5.77674e-01,26
2900,1.10287e-02,5.34237e-01,27
3000,1.07847e-02,5.88783e-01,27
3100,1.44535e-02,5.23515e-01,28
3200,1.39748e-02,5.32093e-01,29
3300,1.39123e-02,6.31265e-01,30
3400,1.06564e-02,5.56224e-01,31
3500,2.41090e-02,6.38853e-01,32
3600,1.82196e-02,5.55600e-01,33
3700,2.13629e-02,6.09174e-01,34
3800,1.68174e-02,5.73981e-01,35
3900,8.97635e-03,6.21279e-01,36
4000,8.76761e-03,5.43378e-01,37
4100,1.08863e-02,5.90891e-01,38
4200,1.58820e-02,4.95887e-01,39
4300,1.40286e-02,5.77891e-01,40
4400,8.92050e-03,6.15402e-01,40
4500,1.23110e-02,6.53563e-01,41
4600,1.16069e-02,5.22757e-01,42
4700,8.39139e-03,4.53119e-01,43
4800,8.14138e-03,5.07291e-01,44
4900,1.16746e-02,6.20261e-01,45
5000,8.65177e-03,6.22380e-01,46
5100,1.13320e-02,6.01107e-01,47
5200,1.01040e-02,5.82302e-01,48
5300,9.30576e-03,5.76703e-01,49
5400,8.19591e-03,6.22451e-01,50
5500,7.45924e-03,6.40107e-01,51
5600,9.15030e-03,5.47037e-01,52
5700,8.51174e-03,5.64747e-01,53
5800,9.48001e-03,5.50980e-01,54
5900,7.27922e-03,5.83279e-01,55
6000,7.75799e-03,5.64337e-01,56
6100,1.25528e-02,6.25258e-01,56
6200,7.50812e-03,6.53872e-01,57
6300,1.62527e-02,6.28638e-01,58
6400,7.80977e-03,5.24851e-01,59
6500,1.28123e-02,5.24668e-01,60
6600,9.83720e-03,6.23421e-01,61
6700,7.81746e-03,6.34823e-01,62
6800,8.58856e-03,5.01928e-01,63
6900,1.04568e-02,4.95880e-01,64
