step,loss_function,target_value,elapsed_time
0,2.46219e+00,-1.16108e-01,0
100,2.24649e+00,-8.44895e-02,2
200,2.08849e+00,-8.84962e-02,5
300,1.96791e+00,-3.58488e-02,8
400,1.87202e+00,9.20823e-02,11
500,1.79621e+00,4.63669e-02,13
600,1.73722e+00,-2.93419e-02,16
700,1.68912e+00,1.65633e-01,19
800,1.65156e+00,4.78563e-03,22
900,1.62185e+00,6.01602e-02,24
1000,1.59774e+00,7.30576e-02,27
1100,1.57700e+00,4.48631e-02,30
1200,1.56037e+00,5.85719e-03,32
1300,1.54593e+00,3.94165e-02,35
1400,1.53364e+00,7.05046e-03,38
1500,1.52319e+00,4.37150e-02,41
1600,1.51394e+00,1.60880e-03,44
1700,1.50615e+00,-1.28202e-02,47
1800,1.49881e+00,3.84873e-02,49
1900,1.49216e+00,-3.86551e-03,52
2000,1.48645e+00,-5.29736e-03,55
2100,1.48102e+00,5.87585e-03,57
2200,1.47612e+00,3.69803e-02,60
2300,1.47133e+00,1.05917e-03,63
2400,1.46678e+00,3.58320e-02,66
2500,1.46233e+00,-2.58504e-02,68
2600,1.45809e+00,-7.75485e-03,71
2700,1.45385e+00,2.02140e-02,74
2800,1.44968e+00,2.56236e-02,76
2900,1.44558e+00,1.75035e-02,79
3000,1.44138e+00,9.78405e-03,82
3100,1.43734e+00,2.07933e-02,85
3200,1.43329e+00,2.60084e-02,88
3300,1.42927e+00,1.35506e-03,90
3400,1.42548e+00,1.38906e-02,93
3500,1.42142e+00,1.13879e-02,96
3600,1.41755e+00,1.39353e-02,98
3700,1.41355e+00,2.46271e-02,101
3800,1.40956e+00,1.05051e-02,104
3900,1.40556e+00,7.94545e-03,107
4000,1.40150e+00,1.40027e-02,109
4100,1.39754e+00,1.34494e-02,112
4200,1.39372e+00,1.48779e-02,115
4300,1.38972e+00,1.71992e-02,117
4400,1.38584e+00,1.78831e-02,120
4500,1.38190e+00,1.46571e-02,123
4600,1.37794e+00,1.66102e-02,125
4700,1.37396e+00,1.74325e-02,128
4800,1.36982e+00,1.54601e-02,131
4900,1.36571e+00,1.58238e-02,133
5000,1.36183e+00,1.40543e-02,136
5100,1.35773e+00,1.56682e-02,139
5200,1.35377e+00,1.39924e-02,141
5300,1.34977e+00,1.39505e-02,144
5400,1.34578e+00,1.35766e-02,147
5500,1.34173e+00,1.45728e-02,150
5600,1.33763e+00,1.62155e-02,152
5700,1.33366e+00,1.41397e-02,155
5800,1.32953e+00,1.37690e-02,158
5900,1.32553e+00,1.43234e-02,161
6000,1.32163e+00,1.25311e-02,163
6100,1.31777e+00,1.36152e-02,166
6200,1.31391e+00,1.52035e-02,169
6300,1.31011e+00,1.42425e-02,172
6400,1.30609e+00,1.48119e-02,175
6500,1.30232e+00,1.35927e-02,177
6600,1.29857e+00,1.44362e-02,180
6700,1.29458e+00,1.51744e-02,183
6800,1.29079e+00,1.47591e-02,185
6900,1.28700e+00,1.27566e-02,188
7000,1.28317e+00,1.36954e-02,191
7100,1.27932e+00,1.37548e-02,193
7200,1.27534e+00,1.41424e-02,196
7300,1.27149e+00,1.35595e-02,199
7400,1.26772e+00,1.40670e-02,202
7500,1.26369e+00,1.27258e-02,204
7600,1.25991e+00,1.36933e-02,207
7700,1.25609e+00,1.48530e-02,209
7800,1.25229e+00,1.36217e-02,212
7900,1.24866e+00,1.46238e-02,215
8000,1.24492e+00,1.50905e-02,217
8100,1.24125e+00,1.37542e-02,220
8200,1.23767e+00,1.23546e-02,223
8300,1.23390e+00,1.32476e-02,225
8400,1.23029e+00,1.43445e-02,228
8500,1.22664e+00,1.39066e-02,231
8600,1.22280e+00,1.36669e-02,234
8700,1.21924e+00,1.34718e-02,236
8800,1.21561e+00,1.39309e-02,239
8900,1.21193e+00,1.34529e-02,242
9000,1.20838e+00,1.43692e-02,244
9100,1.20494e+00,1.36477e-02,247
9200,1.20119e+00,1.47241e-02,250
9300,1.19766e+00,1.41672e-02,252
9400,1.19415e+00,1.44403e-02,255
9500,1.19070e+00,1.28605e-02,258
9600,1.18732e+00,1.31260e-02,261
9700,1.18384e+00,1.42179e-02,264
9800,1.18028e+00,1.29132e-02,267
9900,1.17679e+00,1.23160e-02,269
10000,1.17315e+00,1.18340e-02,272
10100,1.16964e+00,1.17099e-02,275
10200,1.16620e+00,1.16656e-02,278
10300,1.16272e+00,1.11605e-02,280
10400,1.15914e+00,1.13937e-02,283
10500,1.15581e+00,1.25221e-02,286
10600,1.15243e+00,1.39037e-02,289
10700,1.14894e+00,1.48502e-02,292
10800,1.14560e+00,1.43698e-02,294
10900,1.14199e+00,1.29275e-02,297
11000,1.13863e+00,1.28992e-02,300
11100,1.13502e+00,1.24491e-02,302
11200,1.13158e+00,1.31283e-02,305
11300,1.12815e+00,1.29069e-02,308
11400,1.12472e+00,1.36637e-02,311
11500,1.12119e+00,1.43620e-02,313
11600,1.11787e+00,1.35715e-02,316
11700,1.11436e+00,1.33843e-02,319
11800,1.11108e+00,1.45125e-02,321
11900,1.10772e+00,1.48144e-02,324
12000,1.10462e+00,1.55894e-02,327
12100,1.10127e+00,1.59435e-02,329
12200,1.09790e+00,1.58541e-02,332
12300,1.09473e+00,1.60832e-02,335
12400,1.09154e+00,1.60266e-02,338
12500,1.08826e+00,1.61702e-02,340
12600,1.08492e+00,1.58019e-02,343
12700,1.08168e+00,1.55655e-02,346
12800,1.07849e+00,1.65308e-02,349
12900,1.07532e+00,1.60294e-02,351
13000,1.07219e+00,1.70300e-02,354
13100,1.06904e+00,1.64472e-02,357
13200,1.06574e+00,1.64327e-02,359
13300,1.06248e+00,1.69974e-02,362
13400,1.05927e+00,1.71772e-02,365
13500,1.05632e+00,1.71304e-02,368
13600,1.05311e+00,1.80247e-02,370
13700,1.04990e+00,1.68804e-02,373
13800,1.04671e+00,1.67936e-02,376
13900,1.04367e+00,1.63713e-02,379
14000,1.04054e+00,1.73365e-02,381
14100,1.03733e+00,1.61847e-02,384
14200,1.03424e+00,1.63336e-02,387
14300,1.03131e+00,1.57100e-02,389
14400,1.02840e+00,1.66714e-02,392
14500,1.02536e+00,1.77634e-02,395
14600,1.02214e+00,1.74193e-02,398
14700,1.01922e+00,1.64110e-02,400
14800,1.01624e+00,1.65706e-02,403
14900,1.01311e+00,1.65239e-02,406
15000,1.01007e+00,1.65807e-02,409
15100,1.00704e+00,1.76017e-02,411
15200,1.00394e+00,1.77791e-02,414
15300,1.00082e+00,1.77933e-02,417
15400,9.97938e-01,1.81629e-02,420
15500,9.95025e-01,1.67644e-02,423
15600,9.92187e-01,1.75836e-02,425
15700,9.89190e-01,1.75578e-02,428
15800,9.86343e-01,1.64916e-02,431
15900,9.83252e-01,1.56954e-02,433
16000,9.80250e-01,1.60644e-02,436
16100,9.77148e-01,1.55625e-02,439
16200,9.74115e-01,1.63688e-02,441
16300,9.71112e-01,1.63818e-02,444
16400,9.68243e-01,1.63424e-02,446
16500,9.65373e-01,1.55933e-02,449
16600,9.62499e-01,1.61517e-02,452
16700,9.59491e-01,1.58488e-02,455
16800,9.56634e-01,1.66787e-02,458
16900,9.53697e-01,1.62760e-02,460
17000,9.50944e-01,1.66235e-02,463
17100,9.47994e-01,1.64950e-02,465
17200,9.45236e-01,1.62428e-02,468
17300,9.42426e-01,1.64489e-02,471
17400,9.39477e-01,1.50216e-02,473
17500,9.36861e-01,1.50565e-02,476
17600,9.34202e-01,1.45607e-02,479
17700,9.31448e-01,1.43225e-02,481
17800,9.28732e-01,1.52756e-02,484
17900,9.25979e-01,1.45492e-02,487
18000,9.23131e-01,1.57229e-02,489
18100,9.20287e-01,1.57837e-02,492
18200,9.17510e-01,1.69922e-02,495
18300,9.14820e-01,1.58460e-02,497
18400,9.12156e-01,1.48852e-02,500
18500,9.09485e-01,1.50968e-02,503
18600,9.06758e-01,1.58511e-02,505
18700,9.04012e-01,1.57275e-02,508
18800,9.01225e-01,1.55346e-02,511
18900,8.98404e-01,1.49645e-02,513
19000,8.95683e-01,1.51178e-02,516
19100,8.92950e-01,1.51347e-02,519
19200,8.90319e-01,1.54475e-02,521
19300,8.87678e-01,1.50483e-02,524
19400,8.85052e-01,1.43571e-02,527
19500,8.82299e-01,1.36161e-02,530
19600,8.79663e-01,1.24215e-02,532
19700,8.77088e-01,1.32234e-02,535
19800,8.74387e-01,1.25513e-02,538
19900,8.71781e-01,1.31693e-02,540
20000,8.69023e-01,1.36619e-02,543
20100,8.66253e-01,1.48739e-02,546
20200,8.63641e-01,1.39854e-02,548
20300,8.61182e-01,1.30377e-02,551
20400,8.58606e-01,1.36803e-02,553
20500,8.56035e-01,1.41188e-02,556
20600,8.53499e-01,1.34299e-02,559
20700,8.50996e-01,1.43365e-02,562
20800,8.48381e-01,1.49306e-02,564
20900,8.45831e-01,1.51739e-02,567
21000,8.43202e-01,1.45003e-02,570
21100,8.40604e-01,1.43649e-02,572
21200,8.38062e-01,1.39176e-02,575
21300,8.35601e-01,1.40775e-02,578
21400,8.33237e-01,1.40514e-02,581
21500,8.30738e-01,1.48181e-02,583
21600,8.28276e-01,1.41806e-02,586
21700,8.25759e-01,1.43899e-02,589
