step,loss_function,target_value,elapsed_time
0,1.44283e+01,4.99494e+00,0
100,1.42266e+00,1.64703e-01,0
200,4.08948e-01,-5.82288e-02,1
300,1.63601e-01,-3.90516e-03,1
400,1.15746e-01,2.80983e-01,2
500,1.04716e-01,2.08944e-01,3
600,1.01041e-01,3.69914e-01,3
700,1.51426e-01,-6.24007e-02,4
800,8.15067e-02,9.53964e-02,5
900,9.60218e-02,2.96466e-01,5
1000,9.44905e-02,1.52714e-01,6
1100,1.05394e-01,1.95925e-01,7
1200,9.89912e-02,2.05598e-01,7
1300,7.44258e-02,1.86208e-01,8
1400,8.57693e-02,2.69326e-01,9
1500,7.56333e-02,1.15398e-01,9
1600,8.81623e-02,1.84784e-01,10
1700,7.58035e-02,1.60629e-01,11
1800,9.05385e-02,1.65125e-01,11
1900,7.59341e-02,1.91501e-01,12
2000,9.67345e-02,1.45188e-01,13
2100,7.50243e-02,1.26055e-01,13
2200,7.46131e-02,9.09928e-02,14
2300,8.01125e-02,7.23415e-02,15
2400,7.99881e-02,1.30562e-01,15
2500,7.01604e-02,2.44779e-01,16
2600,6.96678e-02,1.27032e-01,17
2700,8.03528e-02,2.39901e-01,17
2800,7.98887e-02,1.05827e-01,18
2900,7.58278e-02,2.18151e-02,19
3000,1.06753e-01,1.06725e-01,19
3100,8.09575e-02,-5.94971e-03,20
3200,8.61524e-02,2.71146e-01,21
3300,8.80836e-02,3.51505e-01,22
3400,7.41374e-02,1.66180e-01,22
3500,8.20523e-02,1.45083e-01,23
3600,7.17163e-02,1.29722e-01,24
3700,7.65799e-02,2.67714e-01,24
3800,6.99096e-02,1.61856e-01,25
3900,6.38002e-02,1.28807e-01,26
4000,8.09656e-02,1.67399e-01,26
4100,7.90363e-02,1.78343e-01,27
4200,7.99064e-02,2.19902e-01,28
4300,7.44609e-02,2.43931e-01,28
4400,7.56426e-02,1.79941e-01,29
4500,7.41866e-02,-4.87747e-03,30
4600,7.49483e-02,1.59626e-01,30
4700,7.73164e-02,1.32992e-01,31
4800,7.49115e-02,4.90281e-02,32
4900,6.68263e-02,-1.44169e-02,32
5000,7.40700e-02,1.55446e-01,33
5100,7.12653e-02,1.59909e-01,34
5200,7.27766e-02,1.32840e-01,34
5300,6.69568e-02,9.88006e-02,35
5400,6.72551e-02,1.41020e-01,36
5500,7.08059e-02,1.24282e-01,36
5600,6.83600e-02,1.35419e-01,37
5700,5.52247e-02,1.17798e-01,38
5800,5.86447e-02,1.15869e-01,38
5900,6.67530e-02,2.44627e-01,39
6000,6.75786e-02,4.89166e-02,40
6100,8.23706e-02,2.61832e-01,40
6200,7.16833e-02,1.98920e-01,41
6300,6.53642e-02,1.07400e-01,42
6400,7.33673e-02,8.28876e-02,42
6500,8.66040e-02,2.30658e-01,43
6600,7.52343e-02,7.36013e-02,44
6700,8.71980e-02,2.51046e-01,44
6800,7.35315e-02,1.69137e-01,45
6900,6.85176e-02,7.73103e-03,46
7000,7.09072e-02,9.85223e-02,46
7100,5.77463e-02,7.03820e-02,47
7200,6.33405e-02,1.07594e-01,48
7300,6.15308e-02,1.69706e-01,48
7400,5.39259e-02,-7.10104e-03,49
7500,6.85267e-02,1.57036e-01,50
7600,6.11935e-02,1.84663e-01,50
7700,7.46003e-02,2.11132e-01,51
7800,6.14359e-02,1.14320e-01,52
7900,6.56015e-02,2.22789e-01,52
8000,6.67526e-02,1.47621e-01,53
8100,7.49454e-02,1.54199e-01,54
8200,7.02294e-02,2.18863e-01,54
8300,7.17566e-02,1.33760e-01,55
8400,8.17065e-02,1.87781e-01,56
8500,7.35877e-02,1.56826e-01,56
8600,6.86693e-02,1.31570e-01,57
8700,6.23111e-02,3.91840e-02,58
8800,8.32179e-02,2.18327e-01,58
8900,6.67806e-02,1.88288e-01,59
9000,6.93527e-02,1.30164e-01,60
9100,5.97926e-02,4.72961e-02,60
9200,8.15341e-02,1.96311e-01,61
9300,7.90706e-02,2.24879e-01,62
9400,6.15427e-02,2.20473e-01,62
9500,5.01667e-02,1.39685e-01,63
9600,6.09757e-02,1.48351e-01,64
9700,6.72596e-02,1.15258e-01,64
9800,6.96465e-02,2.55409e-01,65
9900,7.87649e-02,2.72997e-01,66
