step,loss_function,target_value,elapsed_time
0,1.41720e+02,4.92911e-01,0
100,1.42847e+01,-4.43528e-01,2
200,1.15880e+01,-9.88489e-01,5
300,1.14313e+01,-2.58065e+00,7
400,1.15907e+01,-3.74371e+00,10
500,1.08271e+01,-3.68491e+00,13
600,1.06518e+01,-4.86168e+00,15
700,1.13150e+01,-6.29947e+00,18
800,1.04984e+01,-5.61795e+00,21
900,1.08463e+01,-6.07655e+00,23
1000,1.01854e+01,-7.84475e+00,26
1100,1.05134e+01,-7.40731e+00,29
1200,9.84025e+00,-8.06279e+00,32
1300,9.47933e+00,-8.48325e+00,34
1400,9.36654e+00,-8.79627e+00,37
1500,8.97541e+00,-8.84534e+00,40
1600,8.84004e+00,-9.56123e+00,43
1700,8.87122e+00,-9.40430e+00,45
1800,9.01770e+00,-9.34797e+00,48
1900,8.36321e+00,-9.83691e+00,50
2000,8.05232e+00,-1.05564e+01,53
2100,7.83030e+00,-1.03368e+01,56
2200,7.46702e+00,-1.09672e+01,58
2300,7.46328e+00,-9.81932e+00,61
2400,7.24263e+00,-1.06928e+01,64
2500,6.87479e+00,-1.05257e+01,66
2600,6.87212e+00,-1.05898e+01,69
2700,6.74736e+00,-1.05067e+01,72
2800,6.64731e+00,-1.03596e+01,75
2900,6.83509e+00,-1.07512e+01,77
3000,6.38226e+00,-9.91361e+00,80
3100,7.01748e+00,-1.02977e+01,83
3200,6.31765e+00,-1.15081e+01,85
3300,5.96797e+00,-1.02049e+01,88
3400,5.98562e+00,-1.05139e+01,91
3500,5.88451e+00,-1.04436e+01,94
3600,5.93710e+00,-1.02765e+01,96
3700,5.51125e+00,-1.07162e+01,99
3800,5.36099e+00,-8.81255e+00,102
3900,5.41468e+00,-1.08313e+01,104
4000,5.80368e+00,-1.00774e+01,107
4100,5.39268e+00,-1.07256e+01,110
4200,5.25111e+00,-1.04720e+01,112
4300,5.10158e+00,-9.85148e+00,115
4400,5.16134e+00,-8.93198e+00,118
4500,4.85336e+00,-9.99188e+00,120
4600,4.81419e+00,-9.70739e+00,123
4700,4.74737e+00,-9.69151e+00,126
4800,4.74117e+00,-8.26440e+00,128
4900,4.98438e+00,-9.87776e+00,131
5000,4.74953e+00,-9.01596e+00,134
5100,4.67988e+00,-9.25360e+00,136
5200,4.43378e+00,-9.28939e+00,139
5300,4.82874e+00,-9.71072e+00,142
5400,4.48196e+00,-8.89191e+00,144
5500,4.55856e+00,-8.78372e+00,147
5600,4.52474e+00,-8.56976e+00,150
5700,4.21573e+00,-9.49502e+00,153
5800,4.20846e+00,-9.51667e+00,156
5900,4.13787e+00,-9.73776e+00,158
6000,4.43372e+00,-8.36772e+00,161
6100,4.50111e+00,-8.36247e+00,164
6200,4.23419e+00,-9.19783e+00,167
6300,4.38351e+00,-8.19466e+00,169
6400,4.40284e+00,-8.55245e+00,172
6500,4.37287e+00,-9.20030e+00,175
6600,4.03960e+00,-8.72211e+00,177
6700,3.91394e+00,-7.92561e+00,180
6800,3.95080e+00,-8.09053e+00,182
6900,3.89372e+00,-8.09187e+00,185
7000,3.69420e+00,-7.32460e+00,188
7100,3.96509e+00,-8.26941e+00,190
7200,3.66689e+00,-7.68615e+00,193
7300,3.98354e+00,-8.44037e+00,196
7400,3.73912e+00,-8.06602e+00,198
7500,3.60557e+00,-7.21519e+00,201
7600,3.71906e+00,-7.47291e+00,204
7700,3.56179e+00,-7.78540e+00,206
