step,loss_function,target_value,elapsed_time
0,1.30305e+03,1.16635e+00,0
100,3.36571e+01,-1.26561e+00,2
200,3.10870e+01,-1.06071e+00,5
300,2.92848e+01,-8.51568e-01,8
400,2.74038e+01,-6.45625e-01,11
500,2.53818e+01,-4.49183e-01,13
600,2.29442e+01,-2.58488e-01,16
700,2.14760e+01,-5.58170e-02,19
800,1.97082e+01,1.33546e-01,21
900,1.79374e+01,3.24259e-01,24
1000,1.67395e+01,5.19149e-01,27
1100,1.49666e+01,7.00359e-01,30
1200,1.38644e+01,8.94939e-01,33
1300,1.20844e+01,1.07195e+00,36
1400,1.09835e+01,1.25517e+00,38
1500,9.87299e+00,1.43566e+00,41
1600,8.91065e+00,1.61494e+00,44
1700,8.01449e+00,1.79096e+00,47
1800,6.94211e+00,1.95452e+00,49
1900,5.99308e+00,2.11497e+00,52
2000,5.44328e+00,2.28813e+00,55
2100,4.79137e+00,2.44841e+00,58
2200,3.96250e+00,2.58991e+00,61
2300,3.45323e+00,2.74354e+00,63
2400,3.02471e+00,2.89165e+00,66
2500,2.54749e+00,3.02925e+00,69
2600,2.15272e+00,3.16443e+00,72
2700,1.81034e+00,3.29187e+00,75
2800,1.47294e+00,3.40840e+00,77
2900,1.24737e+00,3.52922e+00,80
3000,1.01667e+00,3.63785e+00,83
3100,8.15873e-01,3.73990e+00,86
3200,6.71872e-01,3.83940e+00,89
3300,5.49329e-01,3.93165e+00,92
3400,4.29027e-01,4.01019e+00,95
3500,3.52586e-01,4.08756e+00,98
3600,2.85717e-01,4.15717e+00,100
3700,2.28758e-01,4.21705e+00,103
3800,1.82443e-01,4.26933e+00,106
3900,1.49848e-01,4.32054e+00,109
4000,1.20774e-01,4.35985e+00,112
4100,1.00761e-01,4.39905e+00,115
4200,8.47944e-02,4.43247e+00,117
4300,7.10639e-02,4.45826e+00,120
4400,6.09808e-02,4.48136e+00,123
4500,5.29842e-02,4.50136e+00,126
4600,4.67811e-02,4.51798e+00,129
4700,4.20208e-02,4.53324e+00,132
4800,3.79411e-02,4.54414e+00,135
4900,3.47161e-02,4.55391e+00,137
5000,3.23280e-02,4.56289e+00,140
5100,3.04006e-02,4.57015e+00,143
5200,2.86134e-02,4.57341e+00,146
5300,2.73786e-02,4.57974e+00,149
5400,2.63741e-02,4.58428e+00,152
5500,2.55259e-02,4.58646e+00,155
5600,2.47891e-02,4.58784e+00,157
5700,2.42543e-02,4.59061e+00,160
5800,2.37970e-02,4.59242e+00,163
5900,2.34834e-02,4.59534e+00,166
6000,2.31578e-02,4.59575e+00,169
6100,2.28766e-02,4.59581e+00,172
6200,2.26569e-02,4.59598e+00,174
6300,2.25272e-02,4.59768e+00,177
6400,2.23882e-02,4.59729e+00,180
6500,2.22506e-02,4.59716e+00,183
6600,2.21669e-02,4.59796e+00,185
6700,2.21034e-02,4.59844e+00,188
