step,loss_function,target_value,elapsed_time
0,9.99970e-01,1.79149e-01,0
100,9.96008e-01,1.98311e-03,0
200,9.92002e-01,3.96223e-03,1
300,9.88072e-01,-3.22093e+01,1
400,9.84127e-01,7.95323e-03,2
500,9.80199e-01,9.95023e-03,3
600,9.76286e-01,1.19284e-02,3
700,9.72359e-01,1.39323e-02,4
800,9.68477e-01,3.33285e+02,5
900,9.64640e-01,1.78391e-02,5
1000,9.60789e-01,1.98014e-02,6
1100,9.56925e-01,3.33380e+02,7
1200,9.53104e-01,-5.07097e+02,7
1300,9.49328e-01,2.56949e-02,8
1400,9.45539e-01,2.75969e-02,9
1500,9.41764e-01,5.07145e+02,9
1600,9.38004e-01,6.70043e+00,10
1700,9.34260e-01,3.34138e-02,11
1800,9.30502e-01,2.40418e+01,11
1900,9.26816e-01,3.72724e-02,12
2000,9.23116e-01,3.54259e-02,13
2100,9.19430e-01,4.11156e-02,13
2200,9.15732e-01,1.70267e+01,14
2300,9.12104e-01,4.87581e-02,14
2400,9.08463e-01,-9.42317e+01,15
2500,9.04837e-01,4.87708e-02,16
2600,9.01196e-01,-3.33279e+02,16
2700,8.97599e-01,-2.39981e+01,17
2800,8.94044e-01,5.44612e-02,18
2900,8.90474e-01,-3.05307e+02,18
3000,8.86919e-01,5.82358e-02,19
3100,8.83351e-01,6.01323e-02,20
3200,8.79853e-01,3.67678e-01,20
3300,8.76340e-01,3.55453e+02,21
3400,8.72842e-01,2.53979e+01,21
3500,8.69357e-01,2.51729e+01,22
3600,8.65859e-01,6.48189e+02,23
3700,8.62430e-01,-3.33259e+02,23
3800,8.58960e-01,7.31991e-02,24
3900,8.55558e-01,2.40865e+01,25
4000,8.52143e-01,-6.60705e+00,25
4100,8.48741e-01,-6.63712e+00,26
4200,8.45353e-01,-4.00600e+00,27
4300,8.41978e-01,2.40942e+01,27
4400,8.38617e-01,5.51078e-02,28
4500,8.35269e-01,4.12235e+02,29
4600,8.31935e-01,8.78953e-02,29
4700,8.28614e-01,8.97177e-02,30
4800,8.25306e-01,9.15365e-02,31
4900,8.21984e-01,6.08217e+02,31
5000,8.18730e-01,-3.56733e+02,32
5100,8.15461e-01,9.70008e-02,33
5200,8.12206e-01,-3.33163e+02,33
5300,8.08963e-01,1.00606e-01,34
5400,8.05734e-01,6.65215e+02,35
5500,8.02518e-01,1.04181e-01,35
5600,7.99314e-01,-3.19548e+01,36
5700,7.96123e-01,1.07743e-01,37
5800,7.92944e-01,1.09540e-01,37
5900,7.89779e-01,3.33434e+02,38
6000,7.86627e-01,6.94997e+02,39
6100,7.83486e-01,1.14852e-01,39
6200,7.80359e-01,1.16621e-01,40
6300,7.77244e-01,-6.65168e+02,41
6400,7.74114e-01,-3.45886e+00,41
6500,7.71024e-01,2.56829e+02,42
6600,7.67972e-01,1.23660e-01,43
6700,7.64907e-01,1.25411e-01,44
6800,7.61853e-01,1.27143e-01,44
6900,7.58812e-01,1.28887e-01,45
7000,7.55782e-01,1.30657e-01,45
7100,7.52739e-01,1.32394e-01,46
7200,7.49735e-01,1.34128e-01,47
7300,7.46767e-01,4.13405e+01,47
7400,7.43786e-01,-3.61312e+02,48
7500,7.40791e-01,1.67346e+01,49
7600,7.37859e-01,1.40997e-01,49
7700,7.34914e-01,1.42744e-01,50
7800,7.31980e-01,1.68457e+01,51
7900,7.29058e-01,1.46151e-01,51
8000,7.26148e-01,6.65294e+02,52
8100,7.23224e-01,-3.96049e+01,53
8200,7.20361e-01,1.51259e-01,53
8300,7.17486e-01,1.60554e-01,54
8400,7.14621e-01,-4.12588e+02,55
8500,7.11744e-01,1.56351e-01,55
8600,7.08927e-01,1.58022e-01,56
8700,7.06098e-01,1.67303e-01,57
8800,7.03279e-01,1.34538e+02,57
8900,7.00471e-01,1.63029e-01,58
9000,6.97675e-01,1.64716e-01,59
9100,6.94890e-01,1.66399e-01,59
9200,6.92116e-01,1.68065e-01,60
9300,6.89353e-01,1.69727e-01,61
9400,6.86601e-01,1.71386e-01,61
9500,6.83860e-01,1.73042e-01,62
9600,6.81130e-01,1.74709e-01,63
9700,6.78411e-01,1.76343e-01,63
9800,6.75703e-01,1.78004e-01,64
9900,6.73005e-01,1.79631e-01,65
0,5.89372e-15,1.81255e-01,65
100,5.89372e-15,1.81270e-01,66
200,5.89372e-15,1.81270e-01,67
300,5.89372e-15,1.81270e-01,68
400,5.89372e-15,1.81270e-01,68
500,5.89372e-15,1.81270e-01,69
600,5.89372e-15,1.81270e-01,70
700,5.89372e-15,1.81270e-01,70
800,5.89372e-15,1.81270e-01,71
900,5.89372e-15,1.81270e-01,72
1000,5.89372e-15,1.81270e-01,72
1100,5.89372e-15,1.81270e-01,73
1200,5.89372e-15,1.81270e-01,74
1300,5.89372e-15,1.81270e-01,75
1400,5.89372e-15,1.45093e+02,75
1500,5.89372e-15,1.81270e-01,76
1600,5.89372e-15,2.57102e-01,77
1700,5.89372e-15,1.81270e-01,77
1800,5.89372e-15,1.81270e-01,78
1900,5.89372e-15,1.81270e-01,79
2000,5.89372e-15,1.81270e-01,80
0,5.38024e-15,1.81270e-01,80
100,5.38024e-15,1.81270e-01,80
200,5.38024e-15,1.81270e-01,81
300,5.38024e-15,1.81270e-01,82
400,5.38024e-15,1.81270e-01,82
500,5.38024e-15,1.81270e-01,83
600,5.38024e-15,1.81270e-01,84
700,5.38024e-15,1.81270e-01,85
800,5.38024e-15,1.81270e-01,85
900,5.38024e-15,1.81270e-01,86
1000,5.38024e-15,1.81270e-01,87
1100,5.38024e-15,1.81270e-01,87
1200,5.38024e-15,1.81270e-01,88
1300,5.38024e-15,1.81270e-01,89
1400,5.38024e-15,3.56982e+02,89
1500,5.38024e-15,1.81270e-01,90
1600,5.38024e-15,1.81270e-01,91
1700,5.38024e-15,1.81270e-01,92
1800,5.38024e-15,1.81270e-01,92
1900,5.38024e-15,1.81270e-01,93
2000,5.38024e-15,1.81270e-01,94
0,5.25708e-15,1.81270e-01,94
100,5.25708e-15,4.06606e-01,94
200,5.25708e-15,1.81270e-01,95
300,5.25708e-15,1.81270e-01,96
400,5.25708e-15,2.57102e-01,96
500,5.25708e-15,1.81270e-01,97
600,5.25708e-15,1.81270e-01,98
700,5.25708e-15,1.81270e-01,99
800,5.25708e-15,1.81270e-01,99
900,5.25708e-15,1.81270e-01,100
1000,5.25708e-15,1.81270e-01,101
1100,5.25708e-15,1.81270e-01,101
1200,5.25708e-15,1.81270e-01,102
1300,5.25708e-15,1.81270e-01,103
1400,5.25708e-15,1.81270e-01,104
1500,5.25708e-15,1.81270e-01,104
1600,5.25708e-15,1.81270e-01,105
1700,5.25708e-15,-4.59129e-02,106
1800,5.25708e-15,1.81270e-01,106
