step,loss_function,target_value,elapsed_time
0,3.72019e+03,4.36987e+00,0
100,1.77921e+02,4.81340e+01,3
200,3.65477e+01,5.75551e+01,6
300,2.92792e+01,5.94812e+01,9
400,2.83412e+01,5.99793e+01,12
500,2.79247e+01,5.98350e+01,15
600,2.75925e+01,5.97559e+01,18
700,2.72518e+01,5.94639e+01,22
800,2.69444e+01,5.95772e+01,25
900,2.66462e+01,5.94271e+01,28
1000,2.64391e+01,5.92267e+01,31
1100,2.62655e+01,5.89749e+01,34
1200,2.61278e+01,5.91006e+01,37
1300,2.59457e+01,5.88876e+01,40
1400,2.58686e+01,5.90680e+01,43
1500,2.57935e+01,5.91421e+01,47
1600,2.57011e+01,5.90149e+01,50
1700,2.55920e+01,5.90781e+01,53
1800,2.55172e+01,5.88632e+01,56
1900,2.54727e+01,5.91045e+01,59
2000,2.54497e+01,5.92642e+01,62
2100,2.53959e+01,5.91867e+01,65
2200,2.53311e+01,5.92915e+01,68
2300,2.53395e+01,5.95614e+01,72
2400,2.53066e+01,5.94952e+01,75
2500,2.53187e+01,5.94169e+01,78
2600,2.52720e+01,5.93838e+01,81
2700,2.52309e+01,5.96307e+01,84
2800,2.52435e+01,5.96517e+01,87
2900,2.52248e+01,5.93245e+01,90
3000,2.52326e+01,5.98415e+01,93
3100,2.52697e+01,5.97848e+01,97
3200,2.52392e+01,5.98486e+01,100
3300,2.52000e+01,6.02376e+01,103
3400,2.51710e+01,6.00148e+01,106
3500,2.52117e+01,6.06054e+01,109
3600,2.52340e+01,6.02442e+01,112
3700,2.52140e+01,6.06387e+01,115
3800,2.51378e+01,6.05048e+01,118
3900,2.51156e+01,6.05635e+01,122
4000,2.51833e+01,6.11721e+01,125
4100,2.52160e+01,6.08983e+01,128
4200,2.51862e+01,6.12723e+01,131
4300,2.51333e+01,6.13917e+01,134
4400,2.51659e+01,6.12873e+01,137
4500,2.51028e+01,6.13026e+01,140
4600,2.51072e+01,6.14766e+01,143
4700,2.51592e+01,6.12580e+01,146
4800,2.51758e+01,6.19815e+01,149
4900,2.51936e+01,6.19226e+01,152
5000,2.52388e+01,6.19318e+01,155
5100,2.51569e+01,6.19042e+01,158
5200,2.52384e+01,6.20449e+01,161
5300,2.52161e+01,6.25649e+01,164
5400,2.51285e+01,6.27482e+01,168
5500,2.50699e+01,6.27521e+01,171
5600,2.50898e+01,6.26276e+01,174
5700,2.50513e+01,6.28973e+01,177
5800,2.50798e+01,6.33025e+01,180
5900,2.50621e+01,6.33037e+01,183
6000,2.50699e+01,6.33210e+01,186
6100,2.50835e+01,6.34780e+01,189
6200,2.51046e+01,6.31797e+01,192
6300,2.50741e+01,6.41588e+01,196
6400,2.50148e+01,6.39214e+01,199
6500,2.50272e+01,6.33277e+01,202
6600,2.50282e+01,6.42692e+01,205
6700,2.50091e+01,6.41475e+01,208
6800,2.50037e+01,6.41000e+01,211
6900,2.49492e+01,6.43651e+01,214
7000,2.49376e+01,6.42899e+01,217
7100,2.50077e+01,6.50919e+01,220
7200,2.49463e+01,6.48821e+01,224
7300,2.48947e+01,6.52994e+01,227
7400,2.49170e+01,6.51196e+01,230
7500,2.49145e+01,6.53592e+01,233
