step,loss_function,target_value,elapsed_time
0,2.80572e+00,-2.25078e+00,0
100,1.19941e-01,9.75432e-01,0
200,9.45824e-02,8.39118e-01,1
300,5.68384e-02,6.97650e-01,2
400,5.53801e-02,6.19500e-01,2
500,4.32266e-02,6.81730e-01,3
600,3.70051e-02,3.81127e-01,4
700,2.98291e-02,6.28618e-01,5
800,2.46354e-02,3.73869e-01,5
900,2.08195e-02,5.25765e-01,6
1000,1.50791e-02,5.21873e-01,7
1100,2.89233e-02,8.89560e-01,7
1200,4.97582e-02,5.88420e-02,8
1300,2.69991e-02,6.03313e-01,9
1400,1.69064e-02,1.78981e-01,10
1500,1.84587e-02,6.45754e-01,10
1600,1.33641e-02,6.98849e-01,11
1700,1.58448e-02,4.24024e-01,12
1800,1.51913e-02,4.85541e-01,12
1900,1.24706e-02,6.99013e-01,13
2000,1.10671e-02,5.51376e-01,14
2100,1.00075e-02,4.74726e-01,15
2200,2.59394e-02,4.00995e-01,15
2300,1.06902e-02,5.88933e-01,16
2400,8.21523e-03,6.74733e-01,17
2500,1.33577e-02,6.27245e-01,17
2600,1.58965e-02,5.40305e-01,18
2700,1.11845e-02,3.12392e-01,19
2800,8.59914e-03,5.20186e-01,19
2900,1.14229e-02,5.71140e-01,20
3000,9.55215e-03,6.26790e-01,21
3100,1.44369e-02,5.19123e-01,22
3200,9.23689e-03,7.36447e-01,22
3300,1.19650e-02,4.94650e-01,23
3400,7.28969e-03,5.66797e-01,24
3500,5.22667e-03,4.68499e-01,25
3600,6.44726e-03,5.17369e-01,25
3700,8.36842e-03,5.90087e-01,26
3800,9.00307e-03,6.20271e-01,27
3900,8.53928e-03,5.49781e-01,27
4000,9.16383e-03,6.03198e-01,28
4100,8.21365e-03,5.75452e-01,29
4200,8.61220e-03,5.62291e-01,30
4300,5.88508e-03,5.55678e-01,30
4400,9.94158e-03,5.10254e-01,31
4500,7.04652e-03,5.86840e-01,32
4600,7.10892e-03,5.84609e-01,32
4700,6.04187e-03,5.54188e-01,33
4800,5.04882e-03,5.36190e-01,34
4900,6.42307e-03,5.81132e-01,35
