step,loss_function,target_value,elapsed_time
0,2.67845e+00,1.12381e-01,0
100,3.71415e+00,1.49605e-01,4
200,3.43850e+00,1.86040e-01,8
300,3.43826e+00,2.21654e-01,12
400,3.35506e+00,2.56604e-01,17
500,3.14140e+00,2.90804e-01,21
600,3.04098e+00,3.24528e-01,25
700,2.91066e+00,3.57454e-01,29
800,2.75123e+00,3.89832e-01,34
900,2.67099e+00,4.21356e-01,38
1000,2.60125e+00,4.52470e-01,42
1100,2.49860e+00,4.83067e-01,46
1200,2.42750e+00,5.13022e-01,50
1300,2.35172e+00,5.42236e-01,55
1400,2.24717e+00,5.70934e-01,59
1500,2.18390e+00,5.99037e-01,63
1600,2.20349e+00,6.26672e-01,67
1700,2.09314e+00,6.53638e-01,72
1800,1.98478e+00,6.80139e-01,76
1900,1.91814e+00,7.06090e-01,80
2000,1.81183e+00,7.31505e-01,84
2100,1.74224e+00,7.56516e-01,89
2200,1.69093e+00,7.80933e-01,93
2300,1.55208e+00,8.04817e-01,97
2400,1.61394e+00,8.28204e-01,101
2500,1.56618e+00,8.51193e-01,106
2600,1.48322e+00,8.73742e-01,110
2700,1.41109e+00,8.95872e-01,114
2800,1.38232e+00,9.17745e-01,118
2900,1.25525e+00,9.39036e-01,123
3000,1.28432e+00,9.59752e-01,127
3100,1.29848e+00,9.80230e-01,131
3200,1.21866e+00,1.00024e+00,135
3300,1.16122e+00,1.01984e+00,140
3400,1.07795e+00,1.03910e+00,144
3500,1.06165e+00,1.05787e+00,148
3600,1.03198e+00,1.07625e+00,152
3700,1.03298e+00,1.09437e+00,157
3800,9.73945e-01,1.11214e+00,161
3900,9.65272e-01,1.12951e+00,165
4000,9.01628e-01,1.14653e+00,169
4100,8.83264e-01,1.16310e+00,174
4200,8.64964e-01,1.17946e+00,178
4300,8.09657e-01,1.19560e+00,182
4400,7.87146e-01,1.21123e+00,186
4500,7.50584e-01,1.22674e+00,191
4600,7.72115e-01,1.24190e+00,195
4700,7.65028e-01,1.25654e+00,199
4800,7.07424e-01,1.27106e+00,203
4900,7.25714e-01,1.28513e+00,208
5000,6.57560e-01,1.29896e+00,212
5100,6.34680e-01,1.31259e+00,216
5200,6.34274e-01,1.32607e+00,220
5300,5.71314e-01,1.33917e+00,225
5400,5.70208e-01,1.35203e+00,229
5500,6.03529e-01,1.36471e+00,233
5600,5.69564e-01,1.37712e+00,237
5700,5.35095e-01,1.38919e+00,241
5800,5.11771e-01,1.40105e+00,246
5900,5.14999e-01,1.41247e+00,250
6000,4.84299e-01,1.42400e+00,254
6100,4.85357e-01,1.43533e+00,258
6200,4.61492e-01,1.44627e+00,263
6300,4.54260e-01,1.45704e+00,267
6400,4.57390e-01,1.46754e+00,271
6500,4.25488e-01,1.47800e+00,275
6600,4.35268e-01,1.48807e+00,280
6700,4.30583e-01,1.49810e+00,284
6800,3.99347e-01,1.50792e+00,288
6900,4.17575e-01,1.51755e+00,292
7000,3.53645e-01,1.52690e+00,296
7100,4.03272e-01,1.53602e+00,301
7200,3.42122e-01,1.54504e+00,305
7300,3.54558e-01,1.55381e+00,309
7400,3.53676e-01,1.56251e+00,313
7500,3.38817e-01,1.57078e+00,318
7600,3.30643e-01,1.57910e+00,322
7700,3.07975e-01,1.58729e+00,326
7800,3.13614e-01,1.59537e+00,330
7900,3.06869e-01,1.60311e+00,335
8000,3.10921e-01,1.61076e+00,339
8100,3.10460e-01,1.61833e+00,343
8200,2.80811e-01,1.62567e+00,347
8300,2.74689e-01,1.63287e+00,351
8400,3.10737e-01,1.63983e+00,356
8500,2.41929e-01,1.64675e+00,360
8600,2.67089e-01,1.65355e+00,364
8700,2.60519e-01,1.66015e+00,368
8800,2.39124e-01,1.66671e+00,373
8900,2.41298e-01,1.67298e+00,377
9000,2.68594e-01,1.67925e+00,381
9100,2.53297e-01,1.68550e+00,385
9200,2.34965e-01,1.69147e+00,390
9300,2.41242e-01,1.69729e+00,394
9400,2.31592e-01,1.70324e+00,398
9500,2.37049e-01,1.70897e+00,403
9600,2.14589e-01,1.71449e+00,407
9700,2.13791e-01,1.71993e+00,411
9800,2.28851e-01,1.72519e+00,416
9900,2.19729e-01,1.73031e+00,420
10000,2.03403e-01,1.73542e+00,424
10100,2.31119e-01,1.74057e+00,428
10200,1.95221e-01,1.74551e+00,432
10300,1.81676e-01,1.75044e+00,437
10400,2.04924e-01,1.75534e+00,441
10500,1.99866e-01,1.76009e+00,445
10600,1.96953e-01,1.76461e+00,449
10700,2.11755e-01,1.76913e+00,454
10800,1.97938e-01,1.77348e+00,458
10900,1.74105e-01,1.77764e+00,462
11000,1.77905e-01,1.78191e+00,467
11100,1.77947e-01,1.78590e+00,471
11200,1.54899e-01,1.78988e+00,475
11300,1.94654e-01,1.79383e+00,479
11400,1.61896e-01,1.79771e+00,484
11500,1.67584e-01,1.80156e+00,488
