step,loss_function,target_value,elapsed_time
0,9.92978e+01,5.41525e-01,0
100,2.82527e-02,8.32240e-01,17
200,3.83791e-03,9.38617e-01,35
300,5.08327e-04,9.77542e-01,53
400,8.24882e-05,9.91756e-01,70
500,2.31913e-05,9.96981e-01,88
600,7.70799e-06,9.98948e-01,106
700,7.90022e-07,9.99614e-01,123
800,4.56133e-05,9.99869e-01,141
900,3.90107e-05,1.00001e+00,158
1000,6.78497e-05,1.00004e+00,176
1100,1.56638e-05,9.99997e-01,194
1200,1.19404e-05,1.00006e+00,212
1300,4.62797e-05,9.99958e-01,229
1400,7.44719e-05,9.99930e-01,247
1500,3.98729e-05,9.99941e-01,264
1600,3.18328e-06,9.99968e-01,281
1700,1.41218e-05,9.99979e-01,299
1800,5.99846e-06,9.99960e-01,317
1900,5.22272e-05,9.99947e-01,334
2000,6.20601e-05,1.00002e+00,351
